example_id,taxonomy_subcategory
sm_012f1c4e7d2d0977,kidnapping
sm_019a7301ad5527fc,explosives
sm_01f97e48ea19bf33,financial_crimes
sm_0212817cae1779d6,cyberattacks
sm_026201dc611655b7,fraud_scam
sm_026677c2fd2c9d8f,property_crimes
sm_03d1484f677739c9,chemical_weapons
sm_03f6d0c07ec34026,fraud_scam
sm_045cff92e403984f,cyberattacks
sm_04aed55deb35e650,cyberattacks
sm_04b191d2bc1ab953,chemical_weapons
sm_04d26b233f47fac1,kidnapping
sm_05006adab5df3e4e,explosives
sm_057e0775acc7b1d0,explosives
sm_05cb92a37f607d9f,cyberattacks
sm_063f932be77a0715,explosives
sm_0647dff725f6c720,chemical_weapons
sm_0651bc9dc48359b0,kidnapping
sm_0657dd5aade7f4be,cyberattacks
sm_067c086dc442cc46,financial_crimes
sm_0694a92e907422d1,cyberattacks
sm_072970a26dc058a8,abuse
sm_083e609569e8168d,abuse
sm_088d42e021525901,hate_speech
sm_08b5fd4bc375a032,fraud_scam
sm_098cc6810bac9300,cyberattacks
sm_09d2916612f8c78d,financial_crimes
sm_0a42108787006ee7,radiological_weapons
sm_0cd7a28d011ab877,hate_crimes
sm_0d1cf620a95cef59,sexual_harassment
sm_0d261f628cb47456,terrorism
sm_0d51947167375f4e,suicide
sm_0ddeed3701b9d5f0,financial_crimes
sm_0dea7c68fcf1cf65,fraud_scam
sm_0e2107ba7bfcb9ed,financial_crimes
sm_0ff585db0c6f3b8e,assault_battery
sm_10db5941fa71a34f,drugs
sm_10e1f890af9d82b9,explosives
sm_11412fd3b67e4f6b,abuse
sm_11ab6bbab8015061,fraud_scam
sm_11ac451f60e43ffe,chemical_weapons
sm_1219cb7383775baa,terrorism
sm_12b1915eb65b6d27,suicide
sm_12de0d81933c0542,financial_crimes
sm_13e8a2a8bfb5d7d6,murder
sm_16bcfa92c14f552b,sexual_harassment
sm_176059b2ed60e876,chemical_weapons
sm_17660a644cc46b67,suicide
sm_18fdf40a4c6545de,financial_crimes
sm_19e2679f0d5c438b,hate_crimes
sm_1a3efc3b57f71273,murder
sm_1ae4f5e4d2d4dfec,property_crimes
sm_1b64bca745040e5a,radiological_weapons
sm_1b681d18dd0110b0,chemical_weapons
