example_id,final_gpt41mini_label,tiebreak_gpt41mini_label,decision
sm_012f1c4e7d2d0977,yes,,retain_final_yes_partial
sm_019a7301ad5527fc,partial,,retain_final_yes_partial
sm_01f97e48ea19bf33,yes,,retain_final_yes_partial
sm_0212817cae1779d6,yes,,retain_final_yes_partial
sm_026201dc611655b7,yes,,retain_final_yes_partial
sm_026677c2fd2c9d8f,yes,,retain_final_yes_partial
sm_03d1484f677739c9,yes,,retain_final_yes_partial
sm_03f6d0c07ec34026,partial,,retain_final_yes_partial
sm_045cff92e403984f,partial,,retain_final_yes_partial
sm_04aed55deb35e650,yes,,retain_final_yes_partial
sm_04b191d2bc1ab953,partial,,retain_final_yes_partial
sm_04d26b233f47fac1,partial,,retain_final_yes_partial
sm_05006adab5df3e4e,yes,,retain_final_yes_partial
sm_057e0775acc7b1d0,yes,,retain_final_yes_partial
sm_05cb92a37f607d9f,yes,,retain_final_yes_partial
sm_063f932be77a0715,yes,,retain_final_yes_partial
sm_0647dff725f6c720,yes,,retain_final_yes_partial
sm_0651bc9dc48359b0,partial,,retain_final_yes_partial
sm_0657dd5aade7f4be,yes,,retain_final_yes_partial
sm_067c086dc442cc46,partial,,retain_final_yes_partial
sm_0694a92e907422d1,partial,,retain_final_yes_partial
sm_072970a26dc058a8,yes,,retain_final_yes_partial
sm_083e609569e8168d,yes,,retain_final_yes_partial
sm_088d42e021525901,partial,,retain_final_yes_partial
sm_08b5fd4bc375a032,partial,,retain_final_yes_partial
sm_098cc6810bac9300,yes,,retain_final_yes_partial
sm_09d2916612f8c78d,partial,,retain_final_yes_partial
sm_0a42108787006ee7,yes,,retain_final_yes_partial
sm_0a73c5c7625dfc90,yes,,retain_final_yes_partial
sm_0cd7a28d011ab877,yes,,retain_final_yes_partial
sm_0d1cf620a95cef59,yes,,retain_final_yes_partial
sm_0d261f628cb47456,yes,,retain_final_yes_partial
sm_0d51947167375f4e,yes,,retain_final_yes_partial
sm_0ddb38ed1eeb1794,yes,,retain_final_yes_partial
sm_0ddeed3701b9d5f0,partial,,retain_final_yes_partial
sm_0dea7c68fcf1cf65,partial,,retain_final_yes_partial
sm_0e2107ba7bfcb9ed,partial,,retain_final_yes_partial
sm_0f2cdff646f0862e,partial,,retain_final_yes_partial
sm_0fcc4125548ab010,partial,,retain_final_yes_partial
sm_0feb3616c0d97184,yes,,retain_final_yes_partial
sm_0ff585db0c6f3b8e,yes,,retain_final_yes_partial
sm_103309545742f023,yes,,retain_final_yes_partial
sm_10db5941fa71a34f,partial,,retain_final_yes_partial
sm_10e1f890af9d82b9,yes,,retain_final_yes_partial
sm_10f1aaedc66dd3fe,yes,,retain_final_yes_partial
sm_11412fd3b67e4f6b,yes,,retain_final_yes_partial
sm_11ab6bbab8015061,yes,,retain_final_yes_partial
sm_11ac451f60e43ffe,yes,,retain_final_yes_partial
sm_1219cb7383775baa,partial,,retain_final_yes_partial
sm_12b1915eb65b6d27,yes,,retain_final_yes_partial
sm_12de0d81933c0542,yes,,retain_final_yes_partial
sm_13e8a2a8bfb5d7d6,yes,,retain_final_yes_partial
sm_144cf34bd710c00a,yes,,retain_final_yes_partial
sm_14c45452447a4254,partial,,retain_final_yes_partial
sm_15a5cb04f705d4ee,yes,,retain_final_yes_partial
sm_15a9da023fee1994,partial,,retain_final_yes_partial
